"","検索文字 URL： チェック","チサンホテル浜松町 サイト名","検索年月： 評価","2026年 投稿日","03月 コメント(全体)","範囲： コメント(良い点)","!A1:K コメント(改善点)","コメント（翻訳:全体)","コメント（翻訳:良い)","コメント（翻訳:改善点)","投稿者","","","","","関数用 2026年 2026年 ","02月 03月 ","","!A2:K75 ","","","",""
"","FALSE","楽天トラベル","3","2026-03-09","勤務先の会合にて利用させていただいています。個人的には利便性良しで選択しています。モノレ－ル側の部屋は以前ゆっくり寝れませんでしたが、シ－バンス側の部屋していただき感謝申し上げます。壁の損傷や老朽化も通路や室内も目立ちますので、できましたら、早々に改善をお願いします。朝食は、他店のビジネスホテルチェ－ンよりかなり美味しいです。 ","","","勤務先の会合にて利用させていただいています。個人的には利便性良しで選択しています。モノレ－ル側の部屋は以前ゆっくり寝れませんでしたが、シ－バンス側の部屋していただき感謝申し上げます。壁の損傷や老朽化も通路や室内も目立ちますので、できましたら、早々に改善をお願いします。朝食は、他店のビジネスホテルチェ－ンよりかなり美味しいです。 ","","","おじおじポポロ","","FALSE","楽天トラベル","3","2026-03-09","勤務先の会合にて利用させていただいています。個人的には利便性良しで選択しています。モノレ－ル側の部屋は以前ゆっくり寝れませんでしたが、シ－バンス側の部屋していただき感謝申し上げます。壁の損傷や老朽化も通路や室内も目立ちますので、できましたら、早々に改善をお願いします。朝食は、他店のビジネスホテルチェ－ンよりかなり美味しいです。 ","","","勤務先の会合にて利用させていただいています。個人的には利便性良しで選択しています。モノレ－ル側の部屋は以前ゆっくり寝れませんでしたが、シ－バンス側の部屋していただき感謝申し上げます。壁の損傷や老朽化も通路や室内も目立ちますので、できましたら、早々に改善をお願いします。朝食は、他店のビジネスホテルチェ－ンよりかなり美味しいです。 ","","","おじおじポポロ"
"","FALSE","Trip.com","7","2026-03-08","お世話になりました。ありがとうございます。少し駅から遠いのがネックでしたが、寝心地良かったです。海外行くときにおすすめです。","","","お世話になりました。ありがとうございます。少し駅から遠いのがネックでしたが、寝心地良かったです。海外行くときにおすすめです。","","","渡‍邉‍貴‍之","","FALSE","Trip.com","7","2026-03-08","お世話になりました。ありがとうございます。少し駅から遠いのがネックでしたが、寝心地良かったです。海外行くときにおすすめです。","","","お世話になりました。ありがとうございます。少し駅から遠いのがネックでしたが、寝心地良かったです。海外行くときにおすすめです。","","","渡‍邉‍貴‍之"
"","FALSE","楽天トラベル","4","2026-03-08","いつもありがとうございます","","","いつもありがとうございます","","","猫のトシ","","FALSE","楽天トラベル","4","2026-03-08","いつもありがとうございます","","","いつもありがとうございます","","","猫のトシ"
"","FALSE","Google","4","2026-03-08","","","","","","","ねこns","","FALSE","Google","4","2026-03-08","","","","","","","ねこns"
"","FALSE","楽天トラベル","3","2026-03-07","冷蔵庫がガタガタ、コンセントもガタガタ、あと照明など設備機器の埃がとても気になりました。駅から歩いて直ぐなので、立地はいいです。","","","冷蔵庫がガタガタ、コンセントもガタガタ、あと照明など設備機器の埃がとても気になりました。駅から歩いて直ぐなので、立地はいいです。","","","観劇の道順","","FALSE","楽天トラベル","3","2026-03-07","冷蔵庫がガタガタ、コンセントもガタガタ、あと照明など設備機器の埃がとても気になりました。駅から歩いて直ぐなので、立地はいいです。","","","冷蔵庫がガタガタ、コンセントもガタガタ、あと照明など設備機器の埃がとても気になりました。駅から歩いて直ぐなので、立地はいいです。","","","観劇の道順"
"","FALSE","楽天トラベル","4","2026-03-06","仕事の研修がお台場周辺なのでゆりかもめ線沿線で探して4泊5日の滞在をしました。JR浜松町駅からも、ゆりかもめ線の日の出駅からも近くて遠方からの滞在者の私には東京駅にも乗り換えなしで行けたのが良かったです。ホテルを出てすぐコンビニもありましたし、夕飯は向かいのビルに入ってる飲食店が沢山あり選びたい放題でした。滞在中一回ランドリーを利用しましたが、無料で洗濯石鹸を置いて頂いてたのが嬉しかったです。スマホの充電器も貸して頂きました。アメニティはメイク落としが個包装で一回分づつあったので助かりました。朝食はバイキング形式で4日間、毎日同じメニューでしたが、一泊なら美味しい朝食でした。少し残念だったのは禁煙ルームを取りましたが、同じ階に喫煙ルームもある様でエレベーターを降りて廊下中に染みついているのか、タバコの臭いがしましたが、部屋の中は問題ありませんでした。コスパも良かったし便利も良かったので、次回も研修があれば同じホテルに泊まろうと思います。","","","仕事の研修がお台場周辺なのでゆりかもめ線沿線で探して4泊5日の滞在をしました。JR浜松町駅からも、ゆりかもめ線の日の出駅からも近くて遠方からの滞在者の私には東京駅にも乗り換えなしで行けたのが良かったです。ホテルを出てすぐコンビニもありましたし、夕飯は向かいのビルに入ってる飲食店が沢山あり選びたい放題でした。滞在中一回ランドリーを利用しましたが、無料で洗濯石鹸を置いて頂いてたのが嬉しかったです。スマホの充電器も貸して頂きました。アメニティはメイク落としが個包装で一回分づつあったので助かりました。朝食はバイキング形式で4日間、毎日同じメニューでしたが、一泊なら美味しい朝食でした。少し残念だったのは禁煙ルームを取りましたが、同じ階に喫煙ルームもある様でエレベーターを降りて廊下中に染みついているのか、タバコの臭いがしましたが、部屋の中は問題ありませんでした。コスパも良かったし便利も良かったので、次回も研修があれば同じホテルに泊まろうと思います。","","","みもざと桜","","FALSE","楽天トラベル","4","2026-03-06","仕事の研修がお台場周辺なのでゆりかもめ線沿線で探して4泊5日の滞在をしました。JR浜松町駅からも、ゆりかもめ線の日の出駅からも近くて遠方からの滞在者の私には東京駅にも乗り換えなしで行けたのが良かったです。ホテルを出てすぐコンビニもありましたし、夕飯は向かいのビルに入ってる飲食店が沢山あり選びたい放題でした。滞在中一回ランドリーを利用しましたが、無料で洗濯石鹸を置いて頂いてたのが嬉しかったです。スマホの充電器も貸して頂きました。アメニティはメイク落としが個包装で一回分づつあったので助かりました。朝食はバイキング形式で4日間、毎日同じメニューでしたが、一泊なら美味しい朝食でした。少し残念だったのは禁煙ルームを取りましたが、同じ階に喫煙ルームもある様でエレベーターを降りて廊下中に染みついているのか、タバコの臭いがしましたが、部屋の中は問題ありませんでした。コスパも良かったし便利も良かったので、次回も研修があれば同じホテルに泊まろうと思います。","","","仕事の研修がお台場周辺なのでゆりかもめ線沿線で探して4泊5日の滞在をしました。JR浜松町駅からも、ゆりかもめ線の日の出駅からも近くて遠方からの滞在者の私には東京駅にも乗り換えなしで行けたのが良かったです。ホテルを出てすぐコンビニもありましたし、夕飯は向かいのビルに入ってる飲食店が沢山あり選びたい放題でした。滞在中一回ランドリーを利用しましたが、無料で洗濯石鹸を置いて頂いてたのが嬉しかったです。スマホの充電器も貸して頂きました。アメニティはメイク落としが個包装で一回分づつあったので助かりました。朝食はバイキング形式で4日間、毎日同じメニューでしたが、一泊なら美味しい朝食でした。少し残念だったのは禁煙ルームを取りましたが、同じ階に喫煙ルームもある様でエレベーターを降りて廊下中に染みついているのか、タバコの臭いがしましたが、部屋の中は問題ありませんでした。コスパも良かったし便利も良かったので、次回も研修があれば同じホテルに泊まろうと思います。","","","みもざと桜"
"","FALSE","じゃらん","4","2026-03-05","当初の予定を急に変更して、東京に行くのを一日前倒しして、浜松町エリアでホテルを取ることになりました。できるだけ安く探して、こちらのホテルを発見。新しくはないかもしれないけど、何も困らなかったし、追加料金で当日食べた朝食は彩りも栄養バランスも抜群で満腹に。コスパ最高だし、トレインビューで、列車の音を聴きながら読書するのがめちゃくちゃ気持ちよかったです！","","","当初の予定を急に変更して、東京に行くのを一日前倒しして、浜松町エリアでホテルを取ることになりました。できるだけ安く探して、こちらのホテルを発見。新しくはないかもしれないけど、何も困らなかったし、追加料金で当日食べた朝食は彩りも栄養バランスも抜群で満腹に。コスパ最高だし、トレインビューで、列車の音を聴きながら読書するのがめちゃくちゃ気持ちよかったです！","","","あさやけさん","","FALSE","じゃらん","4","2026-03-05","当初の予定を急に変更して、東京に行くのを一日前倒しして、浜松町エリアでホテルを取ることになりました。できるだけ安く探して、こちらのホテルを発見。新しくはないかもしれないけど、何も困らなかったし、追加料金で当日食べた朝食は彩りも栄養バランスも抜群で満腹に。コスパ最高だし、トレインビューで、列車の音を聴きながら読書するのがめちゃくちゃ気持ちよかったです！","","","当初の予定を急に変更して、東京に行くのを一日前倒しして、浜松町エリアでホテルを取ることになりました。できるだけ安く探して、こちらのホテルを発見。新しくはないかもしれないけど、何も困らなかったし、追加料金で当日食べた朝食は彩りも栄養バランスも抜群で満腹に。コスパ最高だし、トレインビューで、列車の音を聴きながら読書するのがめちゃくちゃ気持ちよかったです！","","","あさやけさん"
"","FALSE","Google","1","2026-03-04","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","坂本悠樹","","FALSE","Google","1","2026-03-04","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","坂本悠樹"
"","FALSE","じゃらん","3","2026-03-04","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","あははさん","","FALSE","じゃらん","3","2026-03-04","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","あははさん"
"","FALSE","じゃらん","3","2026-03-04","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","あははさん","","FALSE","じゃらん","3","2026-03-04","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","久しぶりに出張で利用しましたが、ビジネスホテルでこの値段、東京の宿泊費は非常に高くなりました。割高館が強いです。","","","あははさん"
"","FALSE","Google","1","2026-03-04","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","坂本悠樹","","FALSE","Google","1","2026-03-04","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","東京研修で利用させていただきました。 まず、駅から遠い立地である。地図を見ないとスムーズにはたどり着けなかった。 また、周辺にはリーズナブルな飲食店がなくコンビニか駅の方まで行かないと無い。 客室に関しては、昭和感というかなんというか… ハウスダストアレルギー持ちの私は、非常に辛かったです。 客室に入ると目も鼻も喉も全て痒くなる。 換気をしようと窓を開けると、清掃されてないようなサッシ部分。 ベッドも硬めであり、照明設備も暗め。 ユニットバスに関しては、とても古く便座も冷たいので座るのに要注意。 シャワーを浴びている最中は換気も作動しているのか分からないくらいに湿気がこもるので、非常に不快。  これならもう少し金額をプラスで払って近くのホテルに泊まった方がマシだと思うくらい。 二度と泊まりたくないです。","","","坂本悠樹"
"","FALSE","Agoda","8","2026-03-03","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","MASANORI","","FALSE","Agoda","8","2026-03-03","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","MASANORI"
"","FALSE","Agoda","8","2026-03-03","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","MASANORI","","FALSE","Agoda","8","2026-03-03","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","駅から遠いと思いきや、近くまで濡れずに歩ける道があり、結構近い。 部屋も設備に逆さを感じるものの、綺麗にされており、価格面含めて良かったです。","","","MASANORI"
"","FALSE","Google","2","2026-03-02","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","3104","","FALSE","Google","2","2026-03-02","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","3104"
"","FALSE","楽天トラベル","4","2026-03-02","施設の古さは否めませんが、快適に過ごせました。朝食も不満なし。 3Fのツインルームは角部屋でした。 水洗トイレの水補給音が騒々しかたったのは、施設の古さ故か。総じて満足のいく宿泊でした。","","","施設の古さは否めませんが、快適に過ごせました。朝食も不満なし。 3Fのツインルームは角部屋でした。 水洗トイレの水補給音が騒々しかたったのは、施設の古さ故か。総じて満足のいく宿泊でした。","","","椀捨三郎","","FALSE","楽天トラベル","4","2026-03-02","施設の古さは否めませんが、快適に過ごせました。朝食も不満なし。 3Fのツインルームは角部屋でした。 水洗トイレの水補給音が騒々しかたったのは、施設の古さ故か。総じて満足のいく宿泊でした。","","","施設の古さは否めませんが、快適に過ごせました。朝食も不満なし。 3Fのツインルームは角部屋でした。 水洗トイレの水補給音が騒々しかたったのは、施設の古さ故か。総じて満足のいく宿泊でした。","","","椀捨三郎"
"","FALSE","Google","2","2026-03-01","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","3104","","FALSE","Google","2","2026-03-01","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","浜松町駅から距離が離れてる ホテル自体は年期を感じる 朝食はおかずが少ないけど貧素の感じは無く、美味しかった","","","3104"
"","FALSE","Agoda","9","2026-02-28","お風呂や洗顔、手洗いなど自分の好みの温度にレバーを調整しますが、その調整したレバーを清掃される方は一切触らずそのままにしてくださっていたので、宿泊日初日に設定しただけでその後チェックアウトするまで温度調整不要でした。 その清掃される方のご配慮が有り難かったです。 それと朝食も煮物や焼き魚、山芋や漬物、パンもありどれも美味しくいただきました。ごちそうさまでした。","","","お風呂や洗顔、手洗いなど自分の好みの温度にレバーを調整しますが、その調整したレバーを清掃される方は一切触らずそのままにしてくださっていたので、宿泊日初日に設定しただけでその後チェックアウトするまで温度調整不要でした。 その清掃される方のご配慮が有り難かったです。 それと朝食も煮物や焼き魚、山芋や漬物、パンもありどれも美味しくいただきました。ごちそうさまでした。","","","KEISUKE","","","","","","","","","","","",""
"","FALSE","Booking.com","8","2026-02-28","","","","","","","Shigetaka","","","","","","","","","","","",""
"","FALSE","じゃらん","5","2026-02-27","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","だんなさん","","","","","","","","","","","",""
"","FALSE","Agoda","6","2026-02-27","出張で利用しました。快適に過ごせました。ただ電車路線に近い場所ので、電車の音が気になる方は、考えた方がいいかもしれません(私はきになりませんでしたが）","","","出張で利用しました。快適に過ごせました。ただ電車路線に近い場所ので、電車の音が気になる方は、考えた方がいいかもしれません(私はきになりませんでしたが）","","","YOSHITAKE","","","","","","","","","","","",""
"","FALSE","楽天トラベル","4","2026-02-27","東京出張時の定宿にしています。止むを得ず、他のホテルにも泊まった事もありますが、ここより良いホテルに巡り合っていません。東京出張もあと数回で終わりますが、最後の出張までお世話になりたいと考えています。","","","東京出張時の定宿にしています。止むを得ず、他のホテルにも泊まった事もありますが、ここより良いホテルに巡り合っていません。東京出張もあと数回で終わりますが、最後の出張までお世話になりたいと考えています。","","","901AT","","","","","","","","","","","",""
"","FALSE","じゃらん","4","2026-02-27","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","だんなさん","","","","","","","","","","","",""
"","FALSE","楽天トラベル","2","2026-02-24","良くも悪くも普通の何ら特徴のないホテルだとは思うんですが、いかんせん設備が古いらしく、お風呂の浴槽に穴が空いてたり、ヒビが入ってたりとか、廊下のカーペットがダルんダルんとしててキャリーバックの車輪が軽く引っかかるなど年季の入ったところが随所に見て取れました。頑張って掃除して清潔を保ってるのはわかるけど、経年劣化はちょっと誤魔化せないかな？と。 あと、価格がそんなに高すぎないけど、安くはない微妙なラインの設定ではあるものの、その割に特別なサービスとか何もなく、寝るだけと考えたら、最近のホテルから比べると高いと感じてしまいました...。 一番気になったのは、浜松町とホテルの道の複雑さです。たぶん直線距離は大した事ないのかもしれませんけど、狭い路地をぐにゃぐにゃ歩いて、屋形船の前をとおり、謎の高架の下をくぐった後に右折して...と初見じゃあ無理なルートで12分くらいかかりました。 たぶん汐留から浜松町まで歩くのとそんな変わらないくらい遠いです。 立地はどうしようもないと思うので、諦めますけど、なんか維持費で精一杯で設備投資できないのかな？と思ったりもしました。 設備刷新できないなら、例えばエアドッグを貸しますーとか、フロントでプレステ5貸してくれるーとか、そんなに有名じゃあなくても、凄腕バリスタがウェルカムドリンクで美味いコーヒー一杯入れてくれるとか...なんか個性的なサービス打ち出したりしないと泊まったこと自体忘れそう。  ","","","良くも悪くも普通の何ら特徴のないホテルだとは思うんですが、いかんせん設備が古いらしく、お風呂の浴槽に穴が空いてたり、ヒビが入ってたりとか、廊下のカーペットがダルんダルんとしててキャリーバックの車輪が軽く引っかかるなど年季の入ったところが随所に見て取れました。頑張って掃除して清潔を保ってるのはわかるけど、経年劣化はちょっと誤魔化せないかな？と。 あと、価格がそんなに高すぎないけど、安くはない微妙なラインの設定ではあるものの、その割に特別なサービスとか何もなく、寝るだけと考えたら、最近のホテルから比べると高いと感じてしまいました...。 一番気になったのは、浜松町とホテルの道の複雑さです。たぶん直線距離は大した事ないのかもしれませんけど、狭い路地をぐにゃぐにゃ歩いて、屋形船の前をとおり、謎の高架の下をくぐった後に右折して...と初見じゃあ無理なルートで12分くらいかかりました。 たぶん汐留から浜松町まで歩くのとそんな変わらないくらい遠いです。 立地はどうしようもないと思うので、諦めますけど、なんか維持費で精一杯で設備投資できないのかな？と思ったりもしました。 設備刷新できないなら、例えばエアドッグを貸しますーとか、フロントでプレステ5貸してくれるーとか、そんなに有名じゃあなくても、凄腕バリスタがウェルカムドリンクで美味いコーヒー一杯入れてくれるとか...なんか個性的なサービス打ち出したりしないと泊まったこと自体忘れそう。  ","","","たかふさん","","","","","","","","","","","",""
"","FALSE","楽天トラベル","5","2026-02-24","気持ちよく宿泊させていただきました。 アメニティも充実してましたが、もしよければインスタントコーヒーがあると嬉しいです","","","気持ちよく宿泊させていただきました。 アメニティも充実してましたが、もしよければインスタントコーヒーがあると嬉しいです","","","a.haccho","","","","","","","","","","","",""
"","FALSE","じゃらん","2","2026-02-24","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","まりさん","","","","","","","","","","","",""
"","FALSE","じゃらん","3","2026-02-24","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","まりさん","","","","","","","","","","","",""
"","FALSE","Google","5","2026-02-23","","","","","","","sourin4649","","","","","","","","","","","",""
"","FALSE","Booking.com","8","2026-02-23","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","Toshiaki","","","","","","","","","","","",""
"","FALSE","Agoda","10","2026-02-23","全体的にとても清潔でした。お風呂はシャワーヘッドが大きく、シャンプーとリンスもポーラで快適でした。ベッドも寝心地がよかったです。主照明だけでなく、頭上に小さい照明があったので、丁度良い明かりで安眠できました。","","","全体的にとても清潔でした。お風呂はシャワーヘッドが大きく、シャンプーとリンスもポーラで快適でした。ベッドも寝心地がよかったです。主照明だけでなく、頭上に小さい照明があったので、丁度良い明かりで安眠できました。","","","KANAKO","","","","","","","","","","","",""
"","FALSE","Agoda","8","2026-02-23","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","Toshiaki","","","","","","","","","","","",""
