"","検索文字 URL： チェック","チサンホテル浜松町 サイト名","検索年月： 評価","2026年 投稿日","03月 コメント(全体)","範囲： コメント(良い点)","!A1:K コメント(改善点)","コメント（翻訳:全体)","コメント（翻訳:良い)","コメント（翻訳:改善点)","投稿者","","","","","関数用 2026年 2026年 ","02月 03月 ","","!A2:K75 ","","","",""
"","FALSE","楽天トラベル","2","2026-02-19","409号室に泊まった者です。 端の部屋だからか、水回りの音が結構して気になりました。   特におトイレの何かがずっと「ピチョン…ピチョン…」て、どっかの国の拷問かなと思いました。   いやそれは言い過ぎですが、静まり返ったところに一晩中鳴ってるので熟睡出来なかったです。(汗) 他はそんなに気にならなかったですし、スタッフさんも丁寧に応対してくださいました。 あ、都心だから仕方ないのですが、当日予約なのもありますが、値段が高かった。まあそれは仕方ないですね。","","","409号室に泊まった者です。 端の部屋だからか、水回りの音が結構して気になりました。   特におトイレの何かがずっと「ピチョン…ピチョン…」て、どっかの国の拷問かなと思いました。   いやそれは言い過ぎですが、静まり返ったところに一晩中鳴ってるので熟睡出来なかったです。(汗) 他はそんなに気にならなかったですし、スタッフさんも丁寧に応対してくださいました。 あ、都心だから仕方ないのですが、当日予約なのもありますが、値段が高かった。まあそれは仕方ないですね。","","","関西からの人間","","","","","","","","","","","",""
"","FALSE","Google","3","2026-02-19","部屋は少し古さを感じますがビジネスホテルとしてはまぁ普通だと思います。しかし値段が上がってるとはいえやや高いかなという印象です。","","","部屋は少し古さを感じますがビジネスホテルとしてはまぁ普通だと思います。しかし値段が上がってるとはいえやや高いかなという印象です。","","","吉田健太郎","","","","","","","","","","","",""
"","FALSE","Google","5","2026-02-17","スタッフの方が親切","","","スタッフの方が親切","","","由香里関根","","","","","","","","","","","",""
"","FALSE","Agoda","8","2026-02-16","初めて利用しました。 浜松町駅からほぼ直進で距離はそこまで感じなかった。 部屋は多少設備の古さを感じたけど、大切に清掃され今も問題無く使えるのでしょうね。 コンビニも近くにあったし、私的には満足でした。","","","初めて利用しました。 浜松町駅からほぼ直進で距離はそこまで感じなかった。 部屋は多少設備の古さを感じたけど、大切に清掃され今も問題無く使えるのでしょうね。 コンビニも近くにあったし、私的には満足でした。","","","AKIKO","","","","","","","","","","","",""
"","FALSE","楽天トラベル","2","2026-02-15","接客は良かったですが清掃が… 2度泊まりましたが1度目はタオルに毛が付いており、2度目はトイレが流されていなかった(トイレットペーパーも三角になっていなかった)です。","","","接客は良かったですが清掃が… 2度泊まりましたが1度目はタオルに毛が付いており、2度目はトイレが流されていなかった(トイレットペーパーも三角になっていなかった)です。","","","xxxさきxxx","","","","","","","","","","","",""
"","FALSE","楽天トラベル","5","2026-02-14","スムーズなチェックイン、チェックアウト、よかったです。","","","スムーズなチェックイン、チェックアウト、よかったです。","","","ysatoh","","","","","","","","","","","",""
"","FALSE","Google","3","2026-02-13","行き方間違えなければ駅から近い 古くて狭い","","","行き方間違えなければ駅から近い 古くて狭い","","","あかくまくっきー","","","","","","","","","","","",""
"","FALSE","楽天トラベル","5","2026-02-12","15時チェックインでしたが柔軟に対応いただけて助かりました。設備は少し昔のビジネスホテルですが、水量やシャワーもしっかり出て困りません。田町駅、大門駅、浜松町駅からはそれぞれ15分くらい歩きますが、アクセスはそこまで不便に感じません。","","","15時チェックインでしたが柔軟に対応いただけて助かりました。設備は少し昔のビジネスホテルですが、水量やシャワーもしっかり出て困りません。田町駅、大門駅、浜松町駅からはそれぞれ15分くらい歩きますが、アクセスはそこまで不便に感じません。","","","おせわになりました！","","","","","","","","","","","",""
"","FALSE","楽天トラベル","4","2026-02-11","部屋は対象古さを感じますが、立地はあまりに神すぎます。 それだけでプラスと言っていいでしょう 接客も丁寧です","","","部屋は対象古さを感じますが、立地はあまりに神すぎます。 それだけでプラスと言っていいでしょう 接客も丁寧です","","","saizero","","","","","","","","","","","",""
"","FALSE","Agoda","10","2026-02-11","受験で利用しました。とてもリラックス出来ました。安心して試験にのぞめました。","","","受験で利用しました。とてもリラックス出来ました。安心して試験にのぞめました。","","","YOSHIAKI","","","","","","","","","","","",""
"","FALSE","Google","1","2026-02-10","線路側の部屋でした。 ボロアパート並みの防音性能。ひっきりなしの電車の音がとてもよく聞こえます。 慣れない限り寝れなんてできません。 そして酷い乾燥。老舗のビジネスホテルなのに加湿器ありません。 カプセルホテルの方がまだマシです。","","","線路側の部屋でした。 ボロアパート並みの防音性能。ひっきりなしの電車の音がとてもよく聞こえます。 慣れない限り寝れなんてできません。 そして酷い乾燥。老舗のビジネスホテルなのに加湿器ありません。 カプセルホテルの方がまだマシです。","","","Junichi Kashiwada","","","","","","","","","","","",""
"","FALSE","Google","4","2026-02-10","あまりゆっくりとできなかったのですが、特に不自由はありませんでした。コンビニが近いので重宝します。","","","あまりゆっくりとできなかったのですが、特に不自由はありませんでした。コンビニが近いので重宝します。","","","T H","","","","","","","","","","","",""
"","FALSE","楽天トラベル","5","2026-02-09","静かで快適でした","","","静かで快適でした","","","abeman","","","","","","","","","","","",""
"","FALSE","Google","4","2026-02-09","","","","","","","園田典華","","","","","","","","","","","",""
"","FALSE","楽天トラベル","5","2026-02-09","安定したおもてなしで、快適に過ごすことが出来ました。","","","安定したおもてなしで、快適に過ごすことが出来ました。","","","club ckd","","","","","","","","","","","",""
"","FALSE","楽天トラベル","3","2026-02-08","浜松町駅から迷うことなく到着することができました。館内は古さを感じますが、特に不便なことはありませんでした。あえて言うなら、寝ている時に電車の音、他部屋の排水の音？が少し気になるかもしれません。総合的に問題はないと思いますので、また機会がありましたら利用させていただきます。","","","浜松町駅から迷うことなく到着することができました。館内は古さを感じますが、特に不便なことはありませんでした。あえて言うなら、寝ている時に電車の音、他部屋の排水の音？が少し気になるかもしれません。総合的に問題はないと思いますので、また機会がありましたら利用させていただきます。","","","トムオーシャン","","","","","","","","","","","",""
"","FALSE","楽天トラベル","4","2026-02-08","空調設定が全館統一で自分で出来ないのが少し不安でしたが、問題なく快適に過ごせました。 チェックイン前に荷物預かりもしていただけたし、朝食ビュッフェも美味しくいただけました。 また機会がありましたら利用したいと思います。","","","空調設定が全館統一で自分で出来ないのが少し不安でしたが、問題なく快適に過ごせました。 チェックイン前に荷物預かりもしていただけたし、朝食ビュッフェも美味しくいただけました。 また機会がありましたら利用したいと思います。","","","memegon","","","","","","","","","","","",""
"","FALSE","楽天トラベル","3","2026-02-07","浴槽が詰まってた、、","","","浴槽が詰まってた、、","","","yuyu001@","","","","","","","","","","","",""
"","FALSE","楽天トラベル","2","2026-02-07","電車の音が丸聞こえでゆっくり休めなかったです。","","","電車の音が丸聞こえでゆっくり休めなかったです。","","","k--25","","","","","","","","","","","",""
"","FALSE","Agoda","10","2026-02-07","駅から近く利便性が良いです。 窓を開けた際にビル壁がが見える事はなく、陽射しも入り良かったです。 またネオン街ではないので安眠できました。出張の時には次も利用したいです。","","","駅から近く利便性が良いです。 窓を開けた際にビル壁がが見える事はなく、陽射しも入り良かったです。 またネオン街ではないので安眠できました。出張の時には次も利用したいです。","","","MK","","","","","","","","","","","",""
"","FALSE","楽天トラベル","1","2026-02-04","部屋の壁ははがれたまま、洗面トイレも何十年前のものかという設備の古さでした。写真とはあまりにも違いすぎてがっかりです。","","","部屋の壁ははがれたまま、洗面トイレも何十年前のものかという設備の古さでした。写真とはあまりにも違いすぎてがっかりです。","","","みはぱん1212","","","","","","","","","","","",""
"","FALSE","Agoda","9","2026-02-03","出張で、素泊まりしました。 ベットも広く清潔で、料金の割にお得感ありです。","","","出張で、素泊まりしました。 ベットも広く清潔で、料金の割にお得感ありです。","","","Tsuguya","","","","","","","","","","","",""
"","FALSE","じゃらん","3","2026-02-03","３泊の連泊のため少しでも宿泊費を浮かせようと思ったのが、間違いだった。  ある程度のホテルならチェックインも1時間前に出来るのに、全然融通利かないし、チェックアウトの延長も部屋に1時間延長で千円って記載されてるのにフロントに行ったら1500円言われるし。  訂正くらいしておけよ。  喫煙部屋もあるからかエレベーターの中がタバコ臭い。  色々残念過ぎた。","","","３泊の連泊のため少しでも宿泊費を浮かせようと思ったのが、間違いだった。  ある程度のホテルならチェックインも1時間前に出来るのに、全然融通利かないし、チェックアウトの延長も部屋に1時間延長で千円って記載されてるのにフロントに行ったら1500円言われるし。  訂正くらいしておけよ。  喫煙部屋もあるからかエレベーターの中がタバコ臭い。  色々残念過ぎた。","","","かおりんさん","","","","","","","","","","","",""
"","FALSE","Google","3","2026-02-02","","","","","","","つつゆー","","","","","","","","","","","",""
"","FALSE","Google","4","2026-02-01","","","","","","","T H","","","","","","","","","","","",""
"","","","","","","","","","","","","","FALSE","Agoda","9","2026-02-28","お風呂や洗顔、手洗いなど自分の好みの温度にレバーを調整しますが、その調整したレバーを清掃される方は一切触らずそのままにしてくださっていたので、宿泊日初日に設定しただけでその後チェックアウトするまで温度調整不要でした。 その清掃される方のご配慮が有り難かったです。 それと朝食も煮物や焼き魚、山芋や漬物、パンもありどれも美味しくいただきました。ごちそうさまでした。","","","お風呂や洗顔、手洗いなど自分の好みの温度にレバーを調整しますが、その調整したレバーを清掃される方は一切触らずそのままにしてくださっていたので、宿泊日初日に設定しただけでその後チェックアウトするまで温度調整不要でした。 その清掃される方のご配慮が有り難かったです。 それと朝食も煮物や焼き魚、山芋や漬物、パンもありどれも美味しくいただきました。ごちそうさまでした。","","","KEISUKE"
"","","","","","","","","","","","","","FALSE","Booking.com","8","2026-02-28","","","","","","","Shigetaka"
"","","","","","","","","","","","","","FALSE","じゃらん","5","2026-02-27","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","だんなさん"
"","","","","","","","","","","","","","FALSE","Agoda","6","2026-02-27","出張で利用しました。快適に過ごせました。ただ電車路線に近い場所ので、電車の音が気になる方は、考えた方がいいかもしれません(私はきになりませんでしたが）","","","出張で利用しました。快適に過ごせました。ただ電車路線に近い場所ので、電車の音が気になる方は、考えた方がいいかもしれません(私はきになりませんでしたが）","","","YOSHITAKE"
"","","","","","","","","","","","","","FALSE","楽天トラベル","4","2026-02-27","東京出張時の定宿にしています。止むを得ず、他のホテルにも泊まった事もありますが、ここより良いホテルに巡り合っていません。東京出張もあと数回で終わりますが、最後の出張までお世話になりたいと考えています。","","","東京出張時の定宿にしています。止むを得ず、他のホテルにも泊まった事もありますが、ここより良いホテルに巡り合っていません。東京出張もあと数回で終わりますが、最後の出張までお世話になりたいと考えています。","","","901AT"
"","","","","","","","","","","","","","FALSE","じゃらん","4","2026-02-27","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","急な出張でしたが、当日空きあり無事宿泊できました。駅からホテル付近までは簡易な屋根付の歩道がありますので、多少の雨であれば傘無しでも行けます。","","","だんなさん"
"","","","","","","","","","","","","","FALSE","楽天トラベル","2","2026-02-24","良くも悪くも普通の何ら特徴のないホテルだとは思うんですが、いかんせん設備が古いらしく、お風呂の浴槽に穴が空いてたり、ヒビが入ってたりとか、廊下のカーペットがダルんダルんとしててキャリーバックの車輪が軽く引っかかるなど年季の入ったところが随所に見て取れました。頑張って掃除して清潔を保ってるのはわかるけど、経年劣化はちょっと誤魔化せないかな？と。 あと、価格がそんなに高すぎないけど、安くはない微妙なラインの設定ではあるものの、その割に特別なサービスとか何もなく、寝るだけと考えたら、最近のホテルから比べると高いと感じてしまいました...。 一番気になったのは、浜松町とホテルの道の複雑さです。たぶん直線距離は大した事ないのかもしれませんけど、狭い路地をぐにゃぐにゃ歩いて、屋形船の前をとおり、謎の高架の下をくぐった後に右折して...と初見じゃあ無理なルートで12分くらいかかりました。 たぶん汐留から浜松町まで歩くのとそんな変わらないくらい遠いです。 立地はどうしようもないと思うので、諦めますけど、なんか維持費で精一杯で設備投資できないのかな？と思ったりもしました。 設備刷新できないなら、例えばエアドッグを貸しますーとか、フロントでプレステ5貸してくれるーとか、そんなに有名じゃあなくても、凄腕バリスタがウェルカムドリンクで美味いコーヒー一杯入れてくれるとか...なんか個性的なサービス打ち出したりしないと泊まったこと自体忘れそう。  ","","","良くも悪くも普通の何ら特徴のないホテルだとは思うんですが、いかんせん設備が古いらしく、お風呂の浴槽に穴が空いてたり、ヒビが入ってたりとか、廊下のカーペットがダルんダルんとしててキャリーバックの車輪が軽く引っかかるなど年季の入ったところが随所に見て取れました。頑張って掃除して清潔を保ってるのはわかるけど、経年劣化はちょっと誤魔化せないかな？と。 あと、価格がそんなに高すぎないけど、安くはない微妙なラインの設定ではあるものの、その割に特別なサービスとか何もなく、寝るだけと考えたら、最近のホテルから比べると高いと感じてしまいました...。 一番気になったのは、浜松町とホテルの道の複雑さです。たぶん直線距離は大した事ないのかもしれませんけど、狭い路地をぐにゃぐにゃ歩いて、屋形船の前をとおり、謎の高架の下をくぐった後に右折して...と初見じゃあ無理なルートで12分くらいかかりました。 たぶん汐留から浜松町まで歩くのとそんな変わらないくらい遠いです。 立地はどうしようもないと思うので、諦めますけど、なんか維持費で精一杯で設備投資できないのかな？と思ったりもしました。 設備刷新できないなら、例えばエアドッグを貸しますーとか、フロントでプレステ5貸してくれるーとか、そんなに有名じゃあなくても、凄腕バリスタがウェルカムドリンクで美味いコーヒー一杯入れてくれるとか...なんか個性的なサービス打ち出したりしないと泊まったこと自体忘れそう。  ","","","たかふさん"
"","","","","","","","","","","","","","FALSE","楽天トラベル","5","2026-02-24","気持ちよく宿泊させていただきました。 アメニティも充実してましたが、もしよければインスタントコーヒーがあると嬉しいです","","","気持ちよく宿泊させていただきました。 アメニティも充実してましたが、もしよければインスタントコーヒーがあると嬉しいです","","","a.haccho"
"","","","","","","","","","","","","","FALSE","じゃらん","2","2026-02-24","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","まりさん"
"","","","","","","","","","","","","","FALSE","じゃらん","3","2026-02-24","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","2泊だったから安かったのか分かりませんが、、  毛布をお願いしたら良かったと後で後悔しました。  思ってたより綺麗でした。","","","まりさん"
"","","","","","","","","","","","","","FALSE","Google","5","2026-02-23","","","","","","","sourin4649"
"","","","","","","","","","","","","","FALSE","Booking.com","8","2026-02-23","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","Toshiaki"
"","","","","","","","","","","","","","FALSE","Agoda","10","2026-02-23","全体的にとても清潔でした。お風呂はシャワーヘッドが大きく、シャンプーとリンスもポーラで快適でした。ベッドも寝心地がよかったです。主照明だけでなく、頭上に小さい照明があったので、丁度良い明かりで安眠できました。","","","全体的にとても清潔でした。お風呂はシャワーヘッドが大きく、シャンプーとリンスもポーラで快適でした。ベッドも寝心地がよかったです。主照明だけでなく、頭上に小さい照明があったので、丁度良い明かりで安眠できました。","","","KANAKO"
"","","","","","","","","","","","","","FALSE","Agoda","8","2026-02-23","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","","浜松町駅からすぐではないが　遠い程ではない","線路沿いなので　泊まった部屋は9階だったがややうるさい","Toshiaki"
"","","","","","","","","","","","","","FALSE","楽天トラベル","2","2026-02-19","409号室に泊まった者です。 端の部屋だからか、水回りの音が結構して気になりました。   特におトイレの何かがずっと「ピチョン…ピチョン…」て、どっかの国の拷問かなと思いました。   いやそれは言い過ぎですが、静まり返ったところに一晩中鳴ってるので熟睡出来なかったです。(汗) 他はそんなに気にならなかったですし、スタッフさんも丁寧に応対してくださいました。 あ、都心だから仕方ないのですが、当日予約なのもありますが、値段が高かった。まあそれは仕方ないですね。","","","409号室に泊まった者です。 端の部屋だからか、水回りの音が結構して気になりました。   特におトイレの何かがずっと「ピチョン…ピチョン…」て、どっかの国の拷問かなと思いました。   いやそれは言い過ぎですが、静まり返ったところに一晩中鳴ってるので熟睡出来なかったです。(汗) 他はそんなに気にならなかったですし、スタッフさんも丁寧に応対してくださいました。 あ、都心だから仕方ないのですが、当日予約なのもありますが、値段が高かった。まあそれは仕方ないですね。","","","関西からの人間"
"","","","","","","","","","","","","","FALSE","Google","3","2026-02-19","部屋は少し古さを感じますがビジネスホテルとしてはまぁ普通だと思います。しかし値段が上がってるとはいえやや高いかなという印象です。","","","部屋は少し古さを感じますがビジネスホテルとしてはまぁ普通だと思います。しかし値段が上がってるとはいえやや高いかなという印象です。","","","吉田健太郎"
"","","","","","","","","","","","","","FALSE","Google","5","2026-02-17","スタッフの方が親切","","","スタッフの方が親切","","","由香里関根"
"","","","","","","","","","","","","","FALSE","Agoda","8","2026-02-16","初めて利用しました。 浜松町駅からほぼ直進で距離はそこまで感じなかった。 部屋は多少設備の古さを感じたけど、大切に清掃され今も問題無く使えるのでしょうね。 コンビニも近くにあったし、私的には満足でした。","","","初めて利用しました。 浜松町駅からほぼ直進で距離はそこまで感じなかった。 部屋は多少設備の古さを感じたけど、大切に清掃され今も問題無く使えるのでしょうね。 コンビニも近くにあったし、私的には満足でした。","","","AKIKO"
"","","","","","","","","","","","","","FALSE","楽天トラベル","2","2026-02-15","接客は良かったですが清掃が… 2度泊まりましたが1度目はタオルに毛が付いており、2度目はトイレが流されていなかった(トイレットペーパーも三角になっていなかった)です。","","","接客は良かったですが清掃が… 2度泊まりましたが1度目はタオルに毛が付いており、2度目はトイレが流されていなかった(トイレットペーパーも三角になっていなかった)です。","","","xxxさきxxx"
"","","","","","","","","","","","","","FALSE","楽天トラベル","5","2026-02-14","スムーズなチェックイン、チェックアウト、よかったです。","","","スムーズなチェックイン、チェックアウト、よかったです。","","","ysatoh"
"","","","","","","","","","","","","","FALSE","Google","3","2026-02-13","行き方間違えなければ駅から近い 古くて狭い","","","行き方間違えなければ駅から近い 古くて狭い","","","あかくまくっきー"
"","","","","","","","","","","","","","FALSE","楽天トラベル","5","2026-02-12","15時チェックインでしたが柔軟に対応いただけて助かりました。設備は少し昔のビジネスホテルですが、水量やシャワーもしっかり出て困りません。田町駅、大門駅、浜松町駅からはそれぞれ15分くらい歩きますが、アクセスはそこまで不便に感じません。","","","15時チェックインでしたが柔軟に対応いただけて助かりました。設備は少し昔のビジネスホテルですが、水量やシャワーもしっかり出て困りません。田町駅、大門駅、浜松町駅からはそれぞれ15分くらい歩きますが、アクセスはそこまで不便に感じません。","","","おせわになりました！"
"","","","","","","","","","","","","","FALSE","楽天トラベル","4","2026-02-11","部屋は対象古さを感じますが、立地はあまりに神すぎます。 それだけでプラスと言っていいでしょう 接客も丁寧です","","","部屋は対象古さを感じますが、立地はあまりに神すぎます。 それだけでプラスと言っていいでしょう 接客も丁寧です","","","saizero"
"","","","","","","","","","","","","","FALSE","Agoda","10","2026-02-11","受験で利用しました。とてもリラックス出来ました。安心して試験にのぞめました。","","","受験で利用しました。とてもリラックス出来ました。安心して試験にのぞめました。","","","YOSHIAKI"
"","","","","","","","","","","","","","FALSE","Google","1","2026-02-10","線路側の部屋でした。 ボロアパート並みの防音性能。ひっきりなしの電車の音がとてもよく聞こえます。 慣れない限り寝れなんてできません。 そして酷い乾燥。老舗のビジネスホテルなのに加湿器ありません。 カプセルホテルの方がまだマシです。","","","線路側の部屋でした。 ボロアパート並みの防音性能。ひっきりなしの電車の音がとてもよく聞こえます。 慣れない限り寝れなんてできません。 そして酷い乾燥。老舗のビジネスホテルなのに加湿器ありません。 カプセルホテルの方がまだマシです。","","","Junichi Kashiwada"
"","","","","","","","","","","","","","FALSE","Google","4","2026-02-10","あまりゆっくりとできなかったのですが、特に不自由はありませんでした。コンビニが近いので重宝します。","","","あまりゆっくりとできなかったのですが、特に不自由はありませんでした。コンビニが近いので重宝します。","","","T H"
"","","","","","","","","","","","","","FALSE","楽天トラベル","5","2026-02-09","静かで快適でした","","","静かで快適でした","","","abeman"
"","","","","","","","","","","","","","FALSE","Google","4","2026-02-09","","","","","","","園田典華"
"","","","","","","","","","","","","","FALSE","楽天トラベル","5","2026-02-09","安定したおもてなしで、快適に過ごすことが出来ました。","","","安定したおもてなしで、快適に過ごすことが出来ました。","","","club ckd"
"","","","","","","","","","","","","","FALSE","楽天トラベル","3","2026-02-08","浜松町駅から迷うことなく到着することができました。館内は古さを感じますが、特に不便なことはありませんでした。あえて言うなら、寝ている時に電車の音、他部屋の排水の音？が少し気になるかもしれません。総合的に問題はないと思いますので、また機会がありましたら利用させていただきます。","","","浜松町駅から迷うことなく到着することができました。館内は古さを感じますが、特に不便なことはありませんでした。あえて言うなら、寝ている時に電車の音、他部屋の排水の音？が少し気になるかもしれません。総合的に問題はないと思いますので、また機会がありましたら利用させていただきます。","","","トムオーシャン"
"","","","","","","","","","","","","","FALSE","楽天トラベル","4","2026-02-08","空調設定が全館統一で自分で出来ないのが少し不安でしたが、問題なく快適に過ごせました。 チェックイン前に荷物預かりもしていただけたし、朝食ビュッフェも美味しくいただけました。 また機会がありましたら利用したいと思います。","","","空調設定が全館統一で自分で出来ないのが少し不安でしたが、問題なく快適に過ごせました。 チェックイン前に荷物預かりもしていただけたし、朝食ビュッフェも美味しくいただけました。 また機会がありましたら利用したいと思います。","","","memegon"
"","","","","","","","","","","","","","FALSE","楽天トラベル","3","2026-02-07","浴槽が詰まってた、、","","","浴槽が詰まってた、、","","","yuyu001@"
"","","","","","","","","","","","","","FALSE","楽天トラベル","2","2026-02-07","電車の音が丸聞こえでゆっくり休めなかったです。","","","電車の音が丸聞こえでゆっくり休めなかったです。","","","k--25"
"","","","","","","","","","","","","","FALSE","Agoda","10","2026-02-07","駅から近く利便性が良いです。 窓を開けた際にビル壁がが見える事はなく、陽射しも入り良かったです。 またネオン街ではないので安眠できました。出張の時には次も利用したいです。","","","駅から近く利便性が良いです。 窓を開けた際にビル壁がが見える事はなく、陽射しも入り良かったです。 またネオン街ではないので安眠できました。出張の時には次も利用したいです。","","","MK"
"","","","","","","","","","","","","","FALSE","楽天トラベル","1","2026-02-04","部屋の壁ははがれたまま、洗面トイレも何十年前のものかという設備の古さでした。写真とはあまりにも違いすぎてがっかりです。","","","部屋の壁ははがれたまま、洗面トイレも何十年前のものかという設備の古さでした。写真とはあまりにも違いすぎてがっかりです。","","","みはぱん1212"
"","","","","","","","","","","","","","FALSE","Agoda","9","2026-02-03","出張で、素泊まりしました。 ベットも広く清潔で、料金の割にお得感ありです。","","","出張で、素泊まりしました。 ベットも広く清潔で、料金の割にお得感ありです。","","","Tsuguya"
"","","","","","","","","","","","","","FALSE","じゃらん","3","2026-02-03","３泊の連泊のため少しでも宿泊費を浮かせようと思ったのが、間違いだった。  ある程度のホテルならチェックインも1時間前に出来るのに、全然融通利かないし、チェックアウトの延長も部屋に1時間延長で千円って記載されてるのにフロントに行ったら1500円言われるし。  訂正くらいしておけよ。  喫煙部屋もあるからかエレベーターの中がタバコ臭い。  色々残念過ぎた。","","","３泊の連泊のため少しでも宿泊費を浮かせようと思ったのが、間違いだった。  ある程度のホテルならチェックインも1時間前に出来るのに、全然融通利かないし、チェックアウトの延長も部屋に1時間延長で千円って記載されてるのにフロントに行ったら1500円言われるし。  訂正くらいしておけよ。  喫煙部屋もあるからかエレベーターの中がタバコ臭い。  色々残念過ぎた。","","","かおりんさん"
"","","","","","","","","","","","","","FALSE","Google","3","2026-02-02","","","","","","","つつゆー"
"","","","","","","","","","","","","","FALSE","Google","4","2026-02-01","","","","","","","T H"